filenameNumber,labile,moleculeID,smiles,containsAromaticSystem,labileProtonType,solvent,solventShift,machineFrequency
398,1,daDH`F@HRf]rjYj@@,C1(=CSC(CO)=C1)(C),1,OH,CDCl3,7.26,250.131544655141
399,1,daF@`F@HRf]rjYj@@,S1(C(CN)=CC(C)=C1),1,NH2,CDCl3,7.26,250.131544655141
405,1,dk\L`AtpqDfUmviaf@BfX`@,O1(C=2(C=CC(=CC=2(C=C1(C(=O)O)))Br)),1,OH,DMSO,2.5,250.131544655141
408,1,dmMH@LXDeeUZZUjViZ@@,C1(=CC=CN2(C=C(N=C12)CO)),1,OH,DMSO,2.5,250.131544655141
417,1,dmMH@JdDee[VzUiiiZ@@,C=1(C(=CN2(C=CN=C2(C=1)))CO),1,OH,CDCl3,7.26,250.131544655141
423,1,dg~D@JB|dRVTRTITnuU@AT@@,C=2(C=CC(=CC=2(N1(CCOCC1)))CO),1,OH,CDCl3,7.26,250.131544655141
424,1,dg}H@JlLdRVTRTITnuU@AT@@,C=2(C=CC(=CC=2(N1(CCOCC1)))CN),1,NH2,CDCl3,7.26,250.131544655141
425,1,dk]H@JtDiWYVJeNjh@b@@,C=2(C=CC(=CC=2(N1(CCOCC1)))N),1,NH2,CDCl3,7.26,250.131544655141
427,1,foA``@I@PdwJ{J|EYsP@UUD@@,C=1(C=C(C(=O)O)C=CC=1N2(CCCCC2)),1,OH,DMSO,2.5,250.131544655141
429,1,fhyP@@@VrRJIIKEISbiZ|FhJBJjb@@,C1(N(CCCC1)C=3(C=CC(CNC2(CC2))=CC=3)),1,NH,CDCl3,7.26,250.131544655141
430,1,foA``@A@PdwJwZ|eYsPAEUD@@,C=1(C=CC(=CC=1N2(CCCCC2))C(=O)O),1,OH,DMSO,2.5,250.131544655141
441,1,dcmD@HdNReem\i]iffjP@,C=2(C=C(C1(=CC=CO1))ON=2)(CN),1,NH2,CDCl3,7.26,250.131544655141
443,1,foA``@G@PdwJ{J|EYsP@P@@@@,C(C=2(C=CC(C=1(C=CN=CC=1))=CC=2))(=O)O,1,OH,DMSO,2.5,250.131544655141
444,1,foAP@@@VRe]e]RTUh@H@J`@@,N=1(C=CC(=CC=1)C2(=CC=C(C=C2)CNC)),1,NH,CDCl3,7.26,250.131544655141
445,1,dg|D`ML@cIEDhXeDUK]Ra@q@@@,C1(=CC=C(C(=C1)C(O)=O)C2(=CC=CS2)),1,OH,DMSO,2.5,250.131544655141
447,1,dg~@`C@HrQQJFIHeR{ThDEP@@,C1(=CC=C(C(=C1)CNC)C2(=CC=CS2)),1,NH,CDCl3,7.26,250.131544655141
449,1,dk]@@@uJUvUbiS@B@H@@@,C2(=CC(C1(=CC=NC=C1))=CC(=C2)N),1,NH2,CDCl3,7.26,250.131544655141
450,1,foAP@@@VrQIYQIPheEZ@B@Bh@@@,C=1(C(=CC=NC=1)C2(=CC(=CC=C2)CNC)),1,NH,CDCl3,7.26,250.131544655141
452,1,dcmH@JDLdTRabqTnuJDA@@@,O1(C=NC=C1C=2(C(=CC=CC=2)N)),1,NH2,CDCl3,7.26,250.131544655141
453,1,dg~L@KAER[e[mzSmh@bZD@@,C=2(C=C(C1(=CN=CO1))C=C(C(O)=O)C=2),1,OH,DMSO,2.5,250.131544655141
455,1,foAp@@@J\eSJkw|UKUPTDUP@@,N1(CCN(CC1)C2(=CC(=CC=C2)CN))(C),1,NH2,CDCl3,7.26,250.131544655141
457,1,dg@@@z|dbbtVRK]NuAPQT@@,C=1(C=CC=2(N(CCN(C=2(C=1))C)C))(CN),1,NH2,CDCl3,7.26,250.131544655141
462,1,dk^H@NAIYV{VGSh@bjH@@,C2(=CC(=CC(N1(CCCC1))=C2)CO),1,OH,CDCl3,7.26,250.131544655141
467,1,foAq@@HDlCIDhcDeBlDUjeh@Jh@@,C1(=NOC(=N1)C)(C2(=CC(=CC=C2)CNC)),1,NH,CDCl3,7.26,250.131544655141
470,1,dcmD@BXDR[eUVy]ZZZV`@,N=1(N2(C=CC=CC2(=CC=1C(O)=O))),1,OH,DMSO,2.5,250.131544655141
472,1,dk]@@@uJUnubYS@H@H@@@,C2(=CN=CC(C1(=CC(=CC=C1)N))=C2),1,NH2,CDCl3,7.26,250.131544655141
475,1,dk]@@@MJUnurY]@H@B@@@,C=1(C=C(C=NC=1)C2(=CC=C(C=C2)N)),1,NH2,CDCl3,7.26,250.131544655141
476,1,foA``@J@]dbRrTRTIJZMUU@AT@@@,C=1(C(=CC(=CC=1)CN2(CCOCC2))CO),1,OH,CDCl3,7.26,250.131544655141
480,1,dmNH`FT@aJYW_J[jYfj`@,S1(C=CC=2(N(C(=CC1=2)CO)C)),1,OH,CDCl3,7.26,250.131544655141
483,1,foAP`@CV@aInUnuyJsf`B@@@@@,C=1(C(=CN=CN=1)C2(=CC(=CC=C2)C(=O)O)),1,OH,DMSO,2.5,250.131544655141
